trade_no,coin,side,R,btc_pre1h,btc_pre4h,btc_after1h,btc_after4h,btc_trade_return,btc_adverse,btc_favorable
39,ZK/USDT:USDT,LONG,-1.0,-0.0022520814975098835,-0.0003660946541464982,0.00028027708815780983,0.0001245675947367797,0.0020927355915776324,-0.0016579946859462957,0.003456750753945359
40,POL/USDT:USDT,LONG,-1.0,0.001967922857424087,0.0018119506551665943,0.00010690440881244712,0.005295497459777199,-0.0015563293003851841,-0.0019553562216502174,0.0006749894649433763
41,STRK/USDT:USDT,LONG,1.25,-0.0022520814975098835,-0.0003660946541464982,0.00028027708815780983,0.0001245675947367797,0.0024328051252091587,-0.0016579946859462957,0.004114467654155574
42,ARB/USDT:USDT,LONG,-1.0,0.0008740137775447021,5.34925670212516e-05,-0.0018808473266964665,0.0008160289988841107,0.0020226572441852664,-0.003043937439435318,0.004486915547218251
43,ARB/USDT:USDT,LONG,1.25,0.0002057017570871178,0.004918024671801691,-0.0012154843095383283,0.0003768370807688548,0.00011576041043226404,-0.008005940725743788,0.0008497306723216358
44,1INCH/USDT:USDT,LONG,1.25,0.0002057017570871178,0.004918024671801691,-0.0012154843095383283,0.0003768370807688548,0.006215348845228341,-0.008005940725743788,0.00664760314375723
45,AVAX/USDT:USDT,LONG,1.25,0.0002057017570871178,0.004918024671801691,-0.0012154843095383283,0.0003768370807688548,0.006215348845228341,-0.008005940725743788,0.006746122641997365
46,GRASS/USDT:USDT,LONG,1.25,0.002833468909963832,0.005295497459777199,0.0053207735215161645,0.0034400167178381125,0.00900562248598713,-0.003951938688069978,0.011442816213830254
47,MEW/USDT:USDT,LONG,1.25,-0.0006085693947377457,0.0009506031158110773,-0.00046869925500203635,0.0029979529775319147,0.007029258643256986,-0.0011133145033510594,0.008483333497357526
48,IMX/USDT:USDT,LONG,1.25,-0.0004288048753516849,0.0029031566126633823,-0.0010091685606503642,0.0028234594199922913,0.026399407036646005,-0.001915084795972244,0.01636303517585458
49,DOT/USDT:USDT,LONG,1.25,0.007252344098640506,0.006594671042581268,-0.0017758598111051738,-0.005322683885938595,0.024679678215670853,-0.010732263737823766,0.03051272291569007
50,YFI/USDT:USDT,LONG,1.25,0.004019256124858206,0.007501473833456229,0.02487411464912137,,0.022760755531992416,-0.002069381701974793,0.028582876660452783
51,XPL/USDT:USDT,LONG,1.25,0.007651028758160372,0.011516881582833038,0.026926819774231392,,0.020538147138964513,-0.004514159205916801,0.024231218372907648
52,1INCH/USDT:USDT,LONG,1.25,-0.0004288048753516849,0.0029031566126633823,-0.0010091685606503642,0.0028234594199922913,0.0377055366601069,-0.001915084795972244,0.034981641982395395
53,GRASS/USDT:USDT,LONG,1.25,-0.0004288048753516849,0.0029031566126633823,-0.0010091685606503642,0.0028234594199922913,0.0377055366601069,-0.001915084795972244,0.034981641982395395
